Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,795",805 - 38 Niagara Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,1,1,1,4,N,Open,Central Air,Y,Ausente,N,Ensuite,Restrict,8,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Bathurst St/Front St W,Y,Y,Ausente,Toronto C01,Y,1,0,600-699 sqft,No Data,95,"Jun 21, 2023 (10 days ago)"
"$1,149,999",1309 - 197 Yonge Street,Sale,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,3,2,1,4,N,Terr,Central Air,N,Ausente,Ausente,Ausente,Restrict,13,None,Ausente,Ausente,Gas,Ausente,Concrete,Ausente,Y,1.0,Yonge & Queen,Ausente,Y,Ausente,Toronto C08,Y,0,0,800-899 sqft,No Data,100,"Jun 22, 2023 (10 days ago)"
"$2,600",1405 - 2885 Bayview Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Bayview Village,1,1,1,4,N,Terr,Central Air,N,Ausente,N,Ensuite,N,14,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Bayview/Sheppard,Y,Y,Ausente,Toronto C15,Y,0,0,600-699 sqft,No Data,42,"Jun 21, 2023 (11 days ago)"
"$2,800",1005 - 1 Bloor Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,10,None,Ausente,N,Gas,Ausente,Concrete,Y,Ausente,0.0,Yonge & Bloor,Y,Y,Ausente,Toronto C08,Y,1,0,600-699 sqft,No Data,100,"Jun 21, 2023 (11 days ago)"
"$2,500",2207 - 115 Mcmahon Drive,Lease,Condo Apt,Apartment,Ausente,Toronto,Bayview Village,1,1,1,4,Y,Open,Central Air,N,Ausente,Y,Ensuite,Restrict,19,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Bayview / Sheppard / Leslie,Y,Y,Ausente,Toronto C15,Y,0,0,0-499 sqft,No Data,38,"Jun 21, 2023 (11 days ago)"
"$2,400",2109 - 255 Village Green Square,Lease,Condo Apt,Apartment,6-10,Toronto,Agincourt South-Malvern West,1,1,1,4,N,Encl,Central Air,N,Y,N,Ensuite,Restrict,21,None,Y,N,Gas,N,Concrete,N,Ausente,1.0,Kennedy/401,Ausente,Ausente,Ausente,Toronto E07,Y,0,0,500-599 sqft,6-10 years,48,"Jun 22, 2023 (10 days ago)"
"$4,000",Lw11 - 90 Broadview Avenue,Lease,Condo Apt,Loft,6-10,Toronto,South Riverdale,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,Lw,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,1.0,Queen/Broadview,Y,Ausente,Ausente,Toronto E01,Y,1,0,1000-1199 sqft,6-10 years,95,"Jun 21, 2023 (11 days ago)"
"$2,800",702 - 25 Grenville Street,Lease,Condo Apt,Multi-Level,Ausente,Toronto,Bay Street Corridor,1,1,1,5,N,None,Central Air,N,Ausente,Part,Ensuite,N,7,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,0.0,Bay And College St.,Y,Y,Y,Toronto C01,Y,1,0,700-799 sqft,No Data,99,"Jun 21, 2023 (11 days ago)"
"$3,300",1611 - 763 Bay Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,15,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Bay/College,Y,Y,Y,Toronto C01,Y,1,0,700-799 sqft,No Data,99,"Jun 21, 2023 (11 days ago)"
"$2,690",403 - 2 Church Street,Lease,Condo Apt,Apartment,0-5,Toronto,Waterfront Communities C8,1,1,1,4,N,Open,Central Air,N,Ausente,Y,Ensuite,Restrict,04,None,Ausente,N,Gas,N,Brick,N,Y,0.0,Church/The Espalande,Y,Y,Ausente,Toronto C08,Y,1,0,500-599 sqft,0-5 years,97,"Jun 21, 2023 (11 days ago)"
